RecipeItem/0/_ItemName,RecipeItem/1/_ItemName,RecipeItem/2/_ItemName,RecipeItem/3/_ItemName,RecipeItem/4/_ItemName,RecipeItem/5/_ItemName,RecipeItem/6/_ItemName,RecipeItem/7/_ItemName,RecipeItem/8/_ItemName,RecipeItem/9/_ItemName,RecipeItem/9/_itemQuantityText,memo/__cdata,_createDate,_description,_modifyDate,_nutrientRefNum,_primaryKey,_recordType,_useStaticIngrStmt,_userCode,_version,RecipeItem/10/_ItemName,RecipeItem/11/_ItemName,RecipeItem/12/_ItemName,RecipeItem/12/_itemQuantityText,RecipeItem/13/_ItemName,RecipeItem/14/_ItemName,RecipeItem/15/_ItemName,RecipeItem/15/_itemQuantityText,RecipeItem/16/_ItemName,RecipeItem/16/_itemQuantityText,RecipeItem/17/_ItemName,RecipeItem/18/_ItemName,RecipeItem/19/_ItemName,RecipeItem/20/_ItemName
Chicken Broil/Fry Breast w/oSkin-Rstd,Seasoned Salt No MSG UNI-LA,Cured Bacon-Pan Fried,Dehyd Onion Flakes,Canola Oil,Mushroom Pieces Cooked-Drnd,Monterey Jack Cheese-Shredded,Colby Cheese-Shredded,Fresh Parsley-Chpd,"Sauce, Aussie chicken",,"PREP TIME: 25 Min
COOK TIME: 25 Min
YIELDS: 4 Servings
METHOD:
STEP 1: Rub the chicken breasts with the seasoning salt, cover and refrigerate for 30 minutes. 
STEP 2: Preheat oven to 350 degrees F (175 degrees C). Place bacon in a large, deep skillet. Cook over medium high heat until crisp. Set aside.
STEP 3: Make Aussie Chicken Sauce.
STEP 4: Heat oil in a large skillet over medium heat. Place the breasts in the skillet and saute for 3 to 5 minutes per side, or until browned. Remove from skillet and place the breasts into a 9x13 inch baking dish. Apply the honey mustard sauce to each breast, then layer each breast with mushrooms and bacon. Sprinkle top with shredded cheese.
STEP 5: Bake in preheated over for 15 minutes, or until cheese is melted and chicken juices run clear. Garnish with parsley.
Copyright @ 2005 
www.allrecipes.com
Recipe submitted by: Rebecca",7/12/05,"Dish, Aussie chicken, Australian",7/13/05,81979425,81979425,insert,FALSE,,2.2.0,,,,,,,,,,,,,,
